name,price,old_price,discount_percent,dimensions,sleeping_dimensions,url,page_number,scraped_at
Диван прямой Бонент Velvet Eclipse,122000.0,176390.0,30.0,250 x 116 x 82 см,190 x 150 x 44 см,https://www.divan.ru/product/divan-bonent-velvet-eclipse,1,2025-08-26 04:49:45.066586
Диван прямой Эби Мини Linia Mint,88190.0,126410.0,30.0,180 x 108 x 87 см,202 x 140 x 42 см,https://www.divan.ru/product/divan-abi-mini-linia-mint,1,2025-08-26 04:49:45.066586
Диван прямой Роттердам Velvet Yellow,41150.0,51440.0,20.0,148 x 86 x 87 см,,https://www.divan.ru/product/divan-rotterdam-velvet-yellow-new,1,2025-08-26 04:49:45.066586
Диван прямой Бруквиль Velvet Blue,80840.0,108770.0,25.0,171 x 102 x 94 см,201 x 140 x 46 см,https://www.divan.ru/product/divan-brukvil-velvet-blue,1,2025-08-26 04:49:45.066586
Диван прямой Слипсон Мини Linia Stone,70550.0,88190.0,20.0,157 x 105 x 104 см,199 x 139 x 44 см,https://www.divan.ru/product/divan-slipson-mini-linia-stone,1,2025-08-26 04:49:45.066586
Диван угловой Динс Velvet Navy Blue,95540.0,120530.0,20.0,219 x 142 x 90 см,194 x 138 x 46 см,https://www.divan.ru/product/divan-uglovoj-dins-velvet-navy-blue-old-10-04-2024,1,2025-08-26 04:49:45.066586
Диван прямой Кейсес Velvet Grey,39680.0,54380.0,27.0,135 x 78 x 87 см,197 x 120 x 34 см,https://www.divan.ru/product/divan-kejses-velvet-grey,1,2025-08-26 04:49:45.066586
Диван прямой Стаус Velvet Caramel,48500.0,60260.0,19.0,201 x 92 x 89 см,201 x 135 x 42 см,https://www.divan.ru/product/divan-staus-velvet-caramel,1,2025-08-26 04:49:45.066586
Диван прямой Види Textile Ocean,36740.0,66140.0,44.0,146 x 78 x 87 см,197 x 120 x 34 см,https://www.divan.ru/product/divan-vidi-textile-ocean,1,2025-08-26 04:49:45.066586
Диван прямой Бонс-Т Velvet Emerald,63200.0,91130.0,30.0,197 x 100 x 90 см,190 x 120 x 44 см,https://www.divan.ru/product/divan-bons-t-velvet-emerald,1,2025-08-26 04:49:45.066586
Диван прямой Виенсо Bucle Sand,117590.0,139640.0,15.0,210 x 90 x 77 см,173 x 57 x 45 см,https://www.divan.ru/product/divan-vienso-bucle-sand,1,2025-08-26 04:49:45.066586
Диван прямой Лави Velvet Yellow,67610.0,97010.0,30.0,141 x 104 x 87 см,198 x 120 x 40 см,https://www.divan.ru/product/divan-lavi-velvet-yellow,1,2025-08-26 04:49:45.066586
Диван прямой Риен Velvet Smoke,83780.0,110240.0,24.0,216 x 90 x 86 см,190 x 111 x 44 см,https://www.divan.ru/product/divan-rien-velvet-smoke,1,2025-08-26 04:49:45.066586
Диван угловой Дарол Velvet Silver,101420.0,145520.0,30.0,267 x 154 x 100 см,209 x 139 x 42 см,https://www.divan.ru/product/divan-uglovoj-darol-velvet-silver,1,2025-08-26 04:49:45.066586
Диван угловой Вильен мини Velvet Terra,92600.0,124940.0,25.0,180 x 155 x 98 см,200 x 140 x 45 см,https://www.divan.ru/product/divan-uglovoj-vilen-mini-velvet-terra,1,2025-08-26 04:49:45.066586
Диван прямой Пайпел Bucle Grafit,88190.0,104360.0,15.0,160 x 87 x 74 см,,https://www.divan.ru/product/divan-pajpel-bucle-grafit,1,2025-08-26 04:49:45.066586
Диван прямой Мейлон Velvet Beige,80840.0,108770.0,25.0,250 x 104 x 85 см,200 x 156 x 42 см,https://www.divan.ru/product/divan-mejlon-velvet-beige,1,2025-08-26 04:49:45.066586
Диван прямой Марей Soft Grey,142580.0,179330.0,20.0,259 x 110 x 88 см,192 x 160 x 44 см,https://www.divan.ru/product/divan-marej-soft-grey,1,2025-08-26 04:49:45.066586
Диван прямой Сорен Textile Yellow,102890.0,122000.0,15.0,177 x 96 x 86 см,,https://www.divan.ru/product/divan-soren-textile-yellow,1,2025-08-26 04:49:45.066586
Диван прямой Лачи Velvet Yellow,51440.0,69080.0,25.0,198 x 92 x 90 см,198 x 130 x 45 см,https://www.divan.ru/product/divan-lachi-velvet-yellow,1,2025-08-26 04:49:45.066586
Диван прямой Данста Velvet Light,102890.0,138170.0,25.0,215 x 102 x 83 см,195 x 150 x 45 см,https://www.divan.ru/product/divan-dansta-velvet-light,1,2025-08-26 04:49:45.066586
Диван угловой Шера Velvet Olive,161690.0,191090.0,15.0,320 x 155 x 99 см,202 x 153 x 47 см,https://www.divan.ru/product/divan-uglovoj-shera-velvet-olive,1,2025-08-26 04:49:45.066586
Диван прямой Викс Textile Grafit,36740.0,39680.0,7.0,198 x 90 x 83 см,198 x 130 x 40 см,https://www.divan.ru/product/divan-viks-textile-grafit,1,2025-08-26 04:49:45.066586
Диван 49,,,,,,,1,2025-08-26 04:49:45.066586
Диван 50,,,,,,,1,2025-08-26 04:49:45.066586
