id,name,price,old_price,discount_percent,dimensions,sleeping_dimensions,url,image_url,scraped_at
73,Диван модульный Спейс-М 5 Lazy Midnight,290980.0,342430.0,15.0,439 x 235 x 83 см,396 x 156 x 39 см,https://www.divan.ru/product/divan-modulnyj-spejs-m-5-lazy-midnight,https://cdn0.divan.ru/img/v1/1x3ITXqxdLwiNnLJUjdtxvmJ1Nqul_FaLiIRNHvgtjU/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU2NTk4ODMucG5n.jpg,2025-08-26 04:57:49.491974
74,Диван прямой Сваут Velvet Mustard,99950.0,127880.0,21.0,215 x 104 x 86 см,196 x 150 x 43 см,https://www.divan.ru/product/divan-svaut-velvet-mustard,https://cdn0.divan.ru/img/v1/io6K2YjfbDpDpbDZ30NLKBfZx-frhHGSaBfPtDPefR8/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQxNzY3NDcucG5n.jpg,2025-08-26 04:57:49.491974
75,Диван угловой Аронт Мини Velvet Pink,88190.0,110240.0,20.0,186 x 151 x 73 см,206 x 141 x 44 см,https://www.divan.ru/product/divan-uglovoj-aront-mini-velvet-pink,https://cdn0.divan.ru/img/v1/vEyMDKCoRvKFEV284babFKZ20THC1z5q9yOxWtz-Rxk/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ5MDc5OTkucG5n.jpg,2025-08-26 04:57:49.491974
76,Диван модульный Маиль-3 Textile Latte,255740.0,,,387 x 170 x 81 см,319 x 148 x 44 см,https://www.divan.ru/product/divan-modulnyj-mail-3-textile-latte,https://cdn0.divan.ru/img/v1/zFTWCdbWDAMz_qKlBPr6xoshzUZz-Ucobk9J_f3_XdY/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU2MTExNzEucG5n.jpg,2025-08-26 04:57:49.491974
77,Диван прямой Инес Vertical Blue,70550.0,108770.0,35.0,150 x 96 x 88 см,198 x 120 x 47 см,https://www.divan.ru/product/divan-ines-vertical-blue,https://cdn0.divan.ru/img/v1/VTkKWqyVcZ1eDQNgJR8vLzOORBUZseGY_v5PFFKDkQo/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUwOTgxMjIucG5n.jpg,2025-08-26 04:57:49.491974
78,Диван угловой Дарол Velvet Silver,101420.0,145520.0,30.0,267 x 154 x 100 см,209 x 139 x 42 см,https://www.divan.ru/product/divan-uglovoj-darol-velvet-silver,https://cdn0.divan.ru/img/v1/pLqGAXDnNlmS85mkCGMYiacRvA57DvQID9rSM6_xy0g/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUyMTk5NTgucG5n.jpg,2025-08-26 04:57:49.491974
79,Диван угловой Нордика мини Velvet Coral,88190.0,117590.0,25.0,175 x 155 x 92 см,200 x 160 x 45 см,https://www.divan.ru/product/divan-uglovoj-nordika-mini-velvet-coral,https://cdn0.divan.ru/img/v1/oXiqYRPgieVxwwZcCZ5RCZLs92cKgm5IqzjHd5VGWeU/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUzMjI1NzgucG5n.jpg,2025-08-26 04:57:49.491974
80,Диван прямой Бонент Velvet Eclipse,122000.0,176390.0,30.0,250 x 116 x 82 см,190 x 150 x 44 см,https://www.divan.ru/product/divan-bonent-velvet-eclipse,https://cdn0.divan.ru/img/v1/dXaLMzBet-b2ZD72yDxQjchSRRO5ZpyXe6aJdxJKOYM/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ4Nzk4NDAucG5n.jpg,2025-08-26 04:57:49.491974
81,Диван прямой Эби Мини Linia Mint,88190.0,126410.0,30.0,180 x 108 x 87 см,202 x 140 x 42 см,https://www.divan.ru/product/divan-abi-mini-linia-mint,https://cdn0.divan.ru/img/v1/bRhU6YGSlmTTuy48BfQTZS-YZOLpVOEcik5Hh-RC1mk/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ0MTA4NDcucG5n.jpg,2025-08-26 04:57:49.491974
82,Диван прямой Роттердам Velvet Yellow,41150.0,51440.0,20.0,148 x 86 x 87 см,,https://www.divan.ru/product/divan-rotterdam-velvet-yellow-new,https://cdn0.divan.ru/img/v1/_q_1-FJwPXuzBEkqEhqd0Jz775Utk8uf2cpl57qpHAw/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUyMzcwMDMucG5n.jpg,2025-08-26 04:57:49.491974
83,Диван прямой Бруквиль Velvet Blue,80840.0,108770.0,25.0,171 x 102 x 94 см,201 x 140 x 46 см,https://www.divan.ru/product/divan-brukvil-velvet-blue,https://cdn0.divan.ru/img/v1/EVArwZ0FutBAbbM0pQJOHW5AmVNpH5t6HpYqRI9Kd38/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ4NDIxODkucG5n.jpg,2025-08-26 04:57:49.491974
84,Диван прямой Слипсон Мини Linia Stone,70550.0,88190.0,20.0,157 x 105 x 104 см,199 x 139 x 44 см,https://www.divan.ru/product/divan-slipson-mini-linia-stone,https://cdn0.divan.ru/img/v1/YNVCuWrOpPaC8Wt4Ye41K7edw2xyw4I2o3JgciNGRPg/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUzNDY1MzcucG5n.jpg,2025-08-26 04:57:49.491974
85,Диван угловой Динс Velvet Navy Blue,95540.0,120530.0,20.0,219 x 142 x 90 см,194 x 138 x 46 см,https://www.divan.ru/product/divan-uglovoj-dins-velvet-navy-blue-old-10-04-2024,https://cdn0.divan.ru/img/v1/R-YgYI2-4j3aZyHIMkrxkNMdmmJWYy4bAMNeAiBAYOA/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ4NTY2MzMucG5n.jpg,2025-08-26 04:57:49.491974
86,Диван прямой Кейсес Velvet Grey,39680.0,54380.0,27.0,135 x 78 x 87 см,197 x 120 x 34 см,https://www.divan.ru/product/divan-kejses-velvet-grey,https://cdn0.divan.ru/img/v1/W5CSfyCy-Zr455qpjSCH8q9Qc2FennODK4ODmGBdMj4/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ3OTMxOTgucG5n.jpg,2025-08-26 04:57:49.491974
87,Диван прямой Стаус Velvet Caramel,48500.0,60260.0,19.0,201 x 92 x 89 см,201 x 135 x 42 см,https://www.divan.ru/product/divan-staus-velvet-caramel,https://cdn0.divan.ru/img/v1/bqPsnnDWoENE8x1_eSZz6-dJwINpBFNA6ViKtdtcp_g/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUwNTA5MDQucG5n.jpg,2025-08-26 04:57:49.491974
88,Диван прямой Види Textile Ocean,36740.0,66140.0,44.0,146 x 78 x 87 см,197 x 120 x 34 см,https://www.divan.ru/product/divan-vidi-textile-ocean,https://cdn0.divan.ru/img/v1/WvgDYg6B4Gnb46wQ4vSy1yDMeWsi9OrA5NOolbGFzLE/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ0ODg2MzYucG5n.jpg,2025-08-26 04:57:49.491974
89,Диван прямой Бонс-Т Velvet Emerald,63200.0,91130.0,30.0,197 x 100 x 90 см,190 x 120 x 44 см,https://www.divan.ru/product/divan-bons-t-velvet-emerald,https://cdn0.divan.ru/img/v1/AW9cFlXmMMC-BnZoFHMrS-AZgOMVW90y5kXvlxEPP54/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUyMTg3MjIucG5n.jpg,2025-08-26 04:57:49.491974
90,Диван прямой Виенсо Bucle Sand,117590.0,139640.0,15.0,210 x 90 x 77 см,173 x 57 x 45 см,https://www.divan.ru/product/divan-vienso-bucle-sand,https://cdn0.divan.ru/img/v1/UklIkawvWOJtuFBbi7juiMqYo0DRl352InL88mGQKAY/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ2NjQyMjgucG5n.jpg,2025-08-26 04:57:49.491974
